∂,,,,Study Data,,,,,,Central SCC Value,,,,,,,,,,,,,,,,Structural Changes,,,,,,,,,,,,,SCC Distribution,,,,,,,,,,,Parametric Uncertainty: 1 or 0,,,,,,,,,,,,,
,,,,,,,,,,,,,,REPORT EITHER CONSTANT DISCOUNT RATE OR PRTP AND EMUC,,,Damage Function Info - Enter 1 or 0,,,,,CLIMATE,CLIMATE,CLIMATE,DAMAGES,DAMAGES,UTILITY,UTILITY,UTILITY,UTILITY,OTHER,OTHER,OTHER,,,,,,,,,,,,,,,SOCIO-ECONOMICS,SOCIO-ECONOMICS,SOCIO-ECONOMICS,,,CLIMATE,CLIMATE or DAMAGES,DAMAGES,DAMAGES,DAMAGES,UTILITY,UTILITY,UTILITY,,,
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,156.9,2014,Baseline,,,0.1,0.7,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,501.7,2014,Baseline,,,0.1,1.5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,765.4,2014,Baseline,,,0.1,1.5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,3,2014,Baseline,,,1.5,0,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,15.7,2014,Baseline,,,1.5,0,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,7.6,2014,Baseline,,,1.5,0.7,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,41.2,2014,Baseline,,,1.5,0.7,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,97,2014,Baseline,,,1.5,1.5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,211.6,2014,Baseline,,,1.5,1.5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,0.3,2014,Baseline,,,3,0,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,6.6,2014,Baseline,,,3,0,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,-0.6,2014,Baseline,,,3,0.7,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,18,2014,Baseline,,,3,0.7,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,-0.6,2014,Baseline,,,3,1.5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,95.7,2014,Baseline,,,3,1.5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
194,Rudik2020,Ivan,Rudik,2020,"Rudik, Ivan. ""Optimal climate policy when damages are unknown."" American Economic Journal: Economic Policy 12, no. 2 (2020): 340-73.",DICE 2007,,,2005,14,2005,Optimal,,,1.5,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Pg 360,,Damage parameters estimated from Howard and Sterner (2017)
194,Rudik2020,Ivan,Rudik,2020,"Rudik, Ivan. ""Optimal climate policy when damages are unknown."" American Economic Journal: Economic Policy 12, no. 2 (2020): 340-73.",DICE 2007,,,2005,13,2005,Optimal,,,1.5,2,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Pg 360,,Damage parameters estimated from Howard and Sterner (2017)
194,Rudik2020,Ivan,Rudik,2020,"Rudik, Ivan. ""Optimal climate policy when damages are unknown."" American Economic Journal: Economic Policy 12, no. 2 (2020): 340-73.",DICE 2007,,,2005,15,2005,Optimal,,,1.5,2,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Pg 360,,Damage parameters estimated from Howard and Sterner (2017)
194,Rudik2020,Ivan,Rudik,2020,"Rudik, Ivan. ""Optimal climate policy when damages are unknown."" American Economic Journal: Economic Policy 12, no. 2 (2020): 340-73.",DICE 2007,,,2005,13,2005,Optimal,,,1.5,2,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Pg 360,,Damage parameters estimated from Howard and Sterner (2017)
1812,LemoineTraeger2016,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Ambiguous tipping points."" Journal of Economic Behavior & Organization 132 (2016): 5-18.",DICE 2007,,,2015,12,,Optimal,10,,1.5,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 2,,
1812,LemoineTraeger2016,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Ambiguous tipping points."" Journal of Economic Behavior & Organization 132 (2016): 5-18.",DICE 2007,,,2015,14,,Optimal,10,,1.5,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 2,,
1812,LemoineTraeger2016,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Ambiguous tipping points."" Journal of Economic Behavior & Organization 132 (2016): 5-18.",DICE 2007,,,2015,13,,Optimal,10,,1.5,2,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 2,,
1812,LemoineTraeger2016,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Ambiguous tipping points."" Journal of Economic Behavior & Organization 132 (2016): 5-18.",DICE 2007,,,2015,17,,Optimal,10,,1.5,2,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 2,,
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,8,,Optimal,6,,1.5,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,7,,Optimal,6,,1.5,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,7,,Optimal,6,,1.5,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,7,,Optimal,6,,1.5,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,10,,Optimal,6,,1.5,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,9,,Optimal,6,,1.5,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
2006,LemoineTraeger2016b,Ivan,Lemoine and Traeger,2016,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",DICE 2007,,,2015,11,,Optimal,6,,1.5,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig 3,,Paper has a bunch of different tipping point combinations
71,KalkuhlWenz2020,James,Kalkuhl and Wenz,2020,"Kalkuhl, M., & Wenz, L. (2020). The impact of climate conditions on economic production. Evidence from a global panel of regions. Journal of Environmental Economics and Management, 103, 102360.",DICE-2016R,,Empirical Improvement,2020,132,2010,Baseline,37,,,,,,1,1,,,,,,,,,,,,,,73,,,,,,,,,,,,,142,,,,,,,,1,,,,,,Table 8,,"Change in damage function, but not persistence; parametric uncertainty across empirical models."
71,KalkuhlWenz2020,James,Kalkuhl and Wenz,2020,"Kalkuhl, M., & Wenz, L. (2020). The impact of climate conditions on economic production. Evidence from a global panel of regions. Journal of Environmental Economics and Management, 103, 102360.",DICE-2016R,,Empirical Improvement,2030,170,2010,Baseline,51,,,,,,1,1,,,,,,,,,,,,,,92,,,,,,,,,,,,,181,,,,,,,,1,,,,,,Table 8,,"Change in damage function, but not persistence; parametric uncertainty across empirical models."
71,KalkuhlWenz2020,James,Kalkuhl and Wenz,2020,"Kalkuhl, M., & Wenz, L. (2020). The impact of climate conditions on economic production. Evidence from a global panel of regions. Journal of Environmental Economics and Management, 103, 102360.",DICE-2016R,,Empirical Improvement,2050,270,2010,Baseline,91,,,,,,1,1,,,,,,,,,,,,,,144,,,,,,,,,,,,,288,,,,,,,,1,,,,,,Table 8,,"Change in damage function, but not persistence; parametric uncertainty across empirical models."
71,KalkuhlWenz2020,James,Kalkuhl and Wenz,2020,"Kalkuhl, M., & Wenz, L. (2020). The impact of climate conditions on economic production. Evidence from a global panel of regions. Journal of Environmental Economics and Management, 103, 102360.",DICE-2016R,,Empirical Improvement,2100,731,2010,Baseline,271,,,,,,1,1,,,,,,,,,,,,,,377,,,,,,,,,,,,,780,,,,,,,,1,,,,,,Table 8,,"Change in damage function, but not persistence; parametric uncertainty across empirical models."
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2015,44,2015,Optimal,,,1.1,1.35,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,68,,,,,,,,1,,,,,,Figs 6 and 7,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2015,45,2015,2C constrained,,,1.1,1.35,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,Figs 6 and 8,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2020,51,2015,Optimal,,,1.1,1.35,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,78,,,,,,,,1,,,,,,Figs 6 and 7,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2020,52,2015,2C constrained,,,1.1,1.35,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,Figs 6 and 8,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2050,185,2015,Optimal,,,1.1,1.35,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,262,,,,,,,,,,,,,,Figs 6 and 7,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2050,193,2015,2C constrained,,,1.1,1.35,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,Figs 6 and 8,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2100,729,2015,Optimal,,,1.1,1.35,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,966,,,,,,,,,,,,,,Figs 6 and 7,,
620,dietz2019cumulative,Simon,"Dietz, S., Venmans, F.",2019,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",n/a,,Empirical Improvement,2100,791,2015,2C constrained,,,1.1,1.35,,,,,,,,,,,,,,,,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,Figs 6 and 8,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,21,2005,Optimal,12,,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,Paper also reports the same set of eight SCCs under stochastic equilibrium climate sensitivity. These values are for fixed ECS of 3.
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,25,2005,Optimal,12,,1.5,1.5,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,53,2005,Optimal,12,,1.5,1.5,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Table 2,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,49,2005,Optimal,12,,1.5,1.5,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,32,2005,Optimal,12,,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,36,2005,Optimal,12,,1.5,1.5,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,74,2005,Optimal,12,,1.5,1.5,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Table 2,,
2407,dietz2015endogenous,Simon,"Dietz, S., Stern, N.",2015,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",DICE 2010,,Empirical Improvement,2005,64,2005,Optimal,12,,1.5,1.5,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,
