Title,Abstract,Missing DOI Duplicate in SCOPUS?,StoreId,AccessionNumber,ArticleType,AuthorAffiliation,Authors,copyright,correspondenceAuthor,digitalObjectIdentifier,documentType,elecISSN,entryDate,isbn,issn,issue,language,languageOfSummary,pages,pubdate,pubtitle,publicationType,year,publisher,sourceAttrib,volume,DocumentURL,britishNursingIndexEdition,notes,startPage,subjectTerms,FindACopy,Database
"Intertemporal Distribution, Sufficiency, and the Social Cost of Carbon","We explore how the intertemporal distribution of well-being affects the social cost of carbon. In contrast to the literature that studies parameters of a particular social welfare function, such as the discount rate, we shift the focus and directly assume a parametric form for the intertemporal distribution of well-being. This has the advantage of avoiding explicit discounting choices, which has initiated much debate. Specifically, we consider a set of intertemporal distributions that reach a steady-state at a pre-specified level of ""sufficient"" well-being, or equivalently after a pre-specified ""end-of-growth horizon"". We numerically illustrate our results in DICE and find that the social cost of carbon increases over-proportionally with the sufficiency level of well-being. While the social cost of carbon in 2015 is US$7 if the sufficiency level is four-fold the present level, it is US$30 if the sufficiency level is 15-fold, and US$100 if the sufficiency level is 26-fold the present level. This shows in a transparent way how conceptions of intergenerational distributive justice drive the social cost of carbon.",,2032390035, 1698036,Scholarly Journals,,"Hansel, Martin C;Quaas, Martin F",," Hansel, Martin C", 10.1016/j.ecolecon.2017.11.024, Journal Article,, April 2018,,0921-8009,, English, English, 520-535,April 2018,Ecological Economics," CSAPTjournals , CSAPTpeerjournals",2018,, American Economic Association,146,https://search.proquest.com/docview/2032390035?accountid=14505," Ecological Economics, vol. 146, April 2018, pp. 520-35", [URL:http://www.sciencedirect.com/science/journal/09218009] Publisher's URL, 520," General Welfare, Well-Being (I31) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , U.S. , Northern America , Welfare , Well Being , Well-being",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Intertemporal+Distribution%2C+Sufficiency%2C+and+the+Social+Cost+of+Carbon&amp;title=Ecological+Economics&amp;issn=09218009&amp;date=2018-04-01&amp;volume=146&amp;issue=&amp;spage=520&amp;au=Hansel%2C+Martin+C%3BQuaas%2C+Martin+F&amp;isbn=&amp;jtitle=Ecological+Economics&amp;btitle=&amp;rft_id=info:eric/1698036&amp;rft_id=info:doi/10.1016%2Fj.ecolecon.2017.11.024,EconLit
Estimating the Societal Benefits of Carbon Dioxide Sequestration through Peatland Restoration,"The Great Dismal Swamp National Wildlife Refuge (GDS) is a forested peatland that provides a number of ecosystem services including carbon (C) sequestration. We modeled and analyzed the potential capacity of the GDS to sequester C under four management scenarios: no management, no management with catastrophic fire, current management, and increased management. The analysis uses the Land Use and Carbon Scenario Simulator developed for the GDS to estimate net ecosystem C balance. The model simulates net C gains and losses on an annual time-step from 2013 through 2062 which is converted to carbon dioxide equivalent (CO2-eq) and monetized using the Interagency Working Group's Social Cost of Carbon. Our analysis incorporates compounded uncertainty including variation in ecological processes, temporal and spatial heterogeneity, and uncertainty in the discount rate. The no management scenario results in 2.4 million tons of CO2 emissions with a Net Present Value (NPV) under a 3% discount rate of -$67 million. No management with catastrophic fires emits 6.5 million tons of CO2 with an NPV of -$232 million. Current management avoids 9.9 million tons of emissions (via sequestration) with an NPV of $326 million. Increased management avoids 16.5 million tons of emissions with an NPV of $524 million.",,2118301525, 1731038,Scholarly Journals,,"Pindilli, Emily;Sleeter, Rachel;Hogan, Dianna",," Pindilli, Emily", 10.1016/j.ecolecon.2018.08.002, Journal Article,, December 2018,,0921-8009,, English, English, 145-155,December 2018,Ecological Economics," CSAPTjournals , CSAPTpeerjournals",2018,, American Economic Association,154,https://search.proquest.com/docview/2118301525?accountid=14505," Ecological Economics, vol. 154, December 2018, pp. 145-55", [URL:http://www.sciencedirect.com/science/journal/09218009] Publisher's URL, 145," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Ecological Economics: Ecosystem Services, Biodiversity Conservation, Bioeconomics, Industrial Ecology (Q57) , Ecological , Ecosystem , Wildlife",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Estimating+the+Societal+Benefits+of+Carbon+Dioxide+Sequestration+through+Peatland+Restoration&amp;title=Ecological+Economics&amp;issn=09218009&amp;date=2018-12-01&amp;volume=154&amp;issue=&amp;spage=145&amp;au=Pindilli%2C+Emily%3BSleeter%2C+Rachel%3BHogan%2C+Dianna&amp;isbn=&amp;jtitle=Ecological+Economics&amp;btitle=&amp;rft_id=info:eric/1731038&amp;rft_id=info:doi/10.1016%2Fj.ecolecon.2018.08.002,EconLit
How Sensitive Is Nordhaus to Weitzman? Climate Policy in DICE with an Alternative Damage Function,The damage function in the famous climate-economy model DICE has received much criticism. Weitzman (2010) has proposed an alternative approach that gives more serious attention to climate change impacts for larger temperature increases. We calculate optimal climate policy with DICE using this approach. Optimal emission abatement trajectories turn out to be very sensitive to the damage specification. We summarise the difference between the associated optimal abatement costs in NPV terms.,,1125209427, 1325603,Scholarly Journals,,"Wouter Botzen, W J;Van Den Bergh, Jeroen C J M",," Wouter Botzen, W J", 10.1016/j.econlet.2012.05.032, Journal Article,, October 2012,,0165-1765,1, English, English, 372-374,October 2012,Economics Letters," CSAPTjournals , CSAPTpeerjournals",2012,, American Economic Association,117,https://search.proquest.com/docview/1125209427?accountid=14505," Economics Letters, vol. 117, no. 1, October 2012, pp. 372-74", [URL:http://www.sciencedirect.com/science/journal/01651765] Publisher's URL, 372," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=How+Sensitive+Is+Nordhaus+to+Weitzman%3F+Climate+Policy+in+DICE+with+an+Alternative+Damage+Function&amp;title=Economics+Letters&amp;issn=01651765&amp;date=2012-10-01&amp;volume=117&amp;issue=1&amp;spage=372&amp;au=Wouter+Botzen%2C+W+J%3BVan+Den+Bergh%2C+Jeroen+C+J+M&amp;isbn=&amp;jtitle=Economics+Letters&amp;btitle=&amp;rft_id=info:eric/1325603&amp;rft_id=info:doi/10.1016%2Fj.econlet.2012.05.032,EconLit
Climate Policy with Bentham-Rawls Preferences,"A Bentham-Rawls welfare function is the weighted sum of the net present welfare (Bentham) and the welfare of the worst-off generation (Rawls). If utility is non-decreasing over time, optimal climate policy is more stringent in the near-term under the Bentham criterion than under the Bentham-Rawls criterion. If utility is decreasing, Bentham-Rawls abatement is higher. If there is a chance of decreasing utility, Bentham-Rawls optimal climate policy is probably less stringent than Bentham policy.",,1322234183, 1353917,Scholarly Journals,,"Tol, Richard S J",," Tol, Richard S J", 10.1016/j.econlet.2012.12.006, Journal Article,, March 2013,,0165-1765,3, English, English, 424-428,March 2013,Economics Letters," CSAPTjournals , CSAPTpeerjournals",2013,, American Economic Association,118,https://search.proquest.com/docview/1322234183?accountid=14505," Economics Letters, vol. 118, no. 3, March 2013, pp. 424-28", [URL:http://www.sciencedirect.com/science/journal/01651765] Publisher's URL, 424," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Climate+Policy+with+Bentham-Rawls+Preferences&amp;title=Economics+Letters&amp;issn=01651765&amp;date=2013-03-01&amp;volume=118&amp;issue=3&amp;spage=424&amp;au=Tol%2C+Richard+S+J&amp;isbn=&amp;jtitle=Economics+Letters&amp;btitle=&amp;rft_id=info:eric/1353917&amp;rft_id=info:doi/10.1016%2Fj.econlet.2012.12.006,EconLit
Optimal Climate Policy: Uncertainty versus Monte Carlo,"The integrated assessment literature frequently replicates uncertainty by averaging Monte Carlo runs of deterministic models. This Monte Carlo analysis is, in essence, an averaged sensitivity analyses. The approach resolves all uncertainty before the first time period, drawing parameters from a distribution before initiating a given model run. This paper analyzes how closely a Monte Carlo based derivation of optimal policies is to the truly optimal policy, in which the decision maker acknowledges the full set of possible future trajectories in every period. Our analysis uses a stochastic dynamic programming version of the widespread integrated assessment model DICE, and focuses on damage uncertainty. We show that the optimizing Monte Carlo approach is not only off in magnitude, but can even lead to a wrong sign of the uncertainty effect. Moreover, it can lead to contradictory policy advice, suggesting a more stringent climate policy in terms of the abatement rate and a less stringent one in terms of the expenditure on abatement.",,1438549961, 1392498,Scholarly Journals,,"Crost, Benjamin;Traeger, Christian P",," Crost, Benjamin", 10.1016/j.econlet.2013.05.019, Journal Article,, September 2013,,0165-1765,3, English, English, 552-558,September 2013,Economics Letters," CSAPTjournals , CSAPTpeerjournals",2013,, American Economic Association,120,https://search.proquest.com/docview/1438549961?accountid=14505," Economics Letters, vol. 120, no. 3, September 2013, pp. 552-58", [URL:http://www.sciencedirect.com/science/journal/01651765] Publisher's URL, 552," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Optimal+Climate+Policy%3A+Uncertainty+versus+Monte+Carlo&amp;title=Economics+Letters&amp;issn=01651765&amp;date=2013-09-01&amp;volume=120&amp;issue=3&amp;spage=552&amp;au=Crost%2C+Benjamin%3BTraeger%2C+Christian+P&amp;isbn=&amp;jtitle=Economics+Letters&amp;btitle=&amp;rft_id=info:eric/1392498&amp;rft_id=info:doi/10.1016%2Fj.econlet.2013.05.019,EconLit
The Social Cost of Carbon Emissions: Seven Propositions,"Determining the social cost of carbon emissions (SCC) is a crucial step in the economic analysis of climate change policy as the US government's recent decision to use a range of estimates of the SCC centered at $77/tC (or, equivalently, $21/tCO2) in cost-benefit analyses of proposed emission-control legislation underlines. This note reviews the welfare economics theory fundamental to the estimation of the SCC in both static and intertemporal contexts, examining the effects of assumptions about the typical agent's pure rate of time preference and elasticity of marginal felicity of consumption, production, and mitigation technology, and the magnitude of climate-change damage on estimates of the SCC. We highlight three key conclusions: (i) an estimate of the SCC is conditional on a specific policy scenario, the details of which must be made explicit for the estimate to be meaningful; (ii) the social discount rate relevant to intertemporal allocation decisions also depends on the policy scenario; and (iii) the SCC is uniquely defined only for policy scenarios that lead to an efficient growth path because marginal costs and benefits of emission-mitigation diverge on inefficient growth paths. We illustrate these analytical conclusions with simulations of a growth model calibrated to the world economy.",,1466580630, 1398450,Scholarly Journals,,"Foley, Duncan K;Rezai, Armon;Taylor, Lance",," Foley, Duncan K", 10.1016/j.econlet.2013.07.006, Journal Article,, October 2013,,0165-1765,1, English, English, 90-97,October 2013,Economics Letters," CSAPTjournals , CSAPTpeerjournals",2013,, American Economic Association,121,https://search.proquest.com/docview/1466580630?accountid=14505," Economics Letters, vol. 121, no. 1, October 2013, pp. 90-97", [URL:http://www.sciencedirect.com/science/journal/01651765] Publisher's URL, 90," Allocative Efficiency, Cost-Benefit Analysis (D61) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , U.S. , Northern America , Allocation , Climate , Cost Benefit , Welfare , Welfare Economic",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=The+Social+Cost+of+Carbon+Emissions%3A+Seven+Propositions&amp;title=Economics+Letters&amp;issn=01651765&amp;date=2013-10-01&amp;volume=121&amp;issue=1&amp;spage=90&amp;au=Foley%2C+Duncan+K%3BRezai%2C+Armon%3BTaylor%2C+Lance&amp;isbn=&amp;jtitle=Economics+Letters&amp;btitle=&amp;rft_id=info:eric/1398450&amp;rft_id=info:doi/10.1016%2Fj.econlet.2013.07.006,EconLit
Robustness of a Simple Rule for the Social Cost of Carbon,"The optimal social cost of carbon is in general equilibrium proportional to GDP if utility is logarithmic, production is Cobb-Douglas, depreciation is 100% every period, climate damages as fraction of production decline exponentially with the stock of atmospheric carbon, and fossil fuel extraction does not require capital. The time profile and size of the optimal carbon tax corresponding to this simple rule are not robust to more convex climate damages, smaller elasticities of factor substitution and non-unitary coefficients of relative intergenerational inequality aversion. The optimal timing of energy transitions and the amount of fossil fuel reserves to be locked up in the earth are also not accurately predicted by this framework. Still, in terms of welfare and global warming the simple rule for the optimal social cost of carbon manages to get quite close to the first best.",,1700660868, 1504725,Scholarly Journals,,"Rezai, Armon;van der Ploeg, Frederick",," Rezai, Armon", 10.1016/j.econlet.2015.04.007, Journal Article,, July 2015,,0165-1765,, English, English, 48-55,July 2015,Economics Letters," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,132,https://search.proquest.com/docview/1700660868?accountid=14505," Economics Letters, vol. 132, July 2015, pp. 48-55", [URL:http://www.sciencedirect.com/science/journal/01651765] Publisher's URL, 48," Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Nonrenewable Resources and Conservation: Demand and Supply, Prices (Q31) , Hydrocarbon Resources (Q35) , Energy: Demand and Supply, Prices (Q41) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate , Energy , Fuel , Tax",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Robustness+of+a+Simple+Rule+for+the+Social+Cost+of+Carbon&amp;title=Economics+Letters&amp;issn=01651765&amp;date=2015-07-01&amp;volume=132&amp;issue=&amp;spage=48&amp;au=Rezai%2C+Armon%3Bvan+der+Ploeg%2C+Frederick&amp;isbn=&amp;jtitle=Economics+Letters&amp;btitle=&amp;rft_id=info:eric/1504725&amp;rft_id=info:doi/10.1016%2Fj.econlet.2015.04.007,EconLit
Climate Policy vs. Agricultural Productivity Shocks in a Dynamic Computable General Equilibrium (CGE) Modeling Framework: The Case of a Developing Economy,"The main objective of this paper is to compare the cost of climate policy consistent with the 2 degrees celsius global warming target (Paris Agreement target) with the cost of climate change induced agricultural productivity shocks, using a recursive dynamic CGE model for India. The social cost of carbon, in terms of loss in agriculture sector, is estimated to be about 2 percent of GDP, at zero rate of discount, under conservative forecasts of fall in agricultural productivity. In comparison, the cost of climate policy consistent with the Paris Agreement target of 2 degrees celsius is about 1 percent of GDP. Thus, there is a strong case for the adoption of ambitious climate policy in India, provided other countries also adhere to the same. Besides, revenues generated from the carbon tax and emission allowance could be a means to support the development and adoption of new energy and agricultural technologies, to increase social sector expenditure and to reduce abatement costs.",,2220205214, 1766485,Scholarly Journals,,"Pradhan, Basanta K;Ghosh, Joydeep",," Pradhan, Basanta K", 10.1016/j.econmod.2018.05.019, Journal Article,, March 2019,,0264-9993,, English, English, 55-69,March 2019,Economic Modelling," CSAPTjournals , CSAPTpeerjournals",2019,, American Economic Association,77,https://search.proquest.com/docview/2220205214?accountid=14505," Economic Modelling, vol. 77, March 2019, pp. 55-69", [URL:http://www.sciencedirect.com/science/journal/02649993] Publisher's URL, 55," Computable General Equilibrium Models (C68) , Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Economic Development: Agriculture, Natural Resources, Energy, Environment, Other Primary Products (O13) , Formal and Informal Sectors, Shadow Economy, Institutional Arrangements (O17) , Agriculture: Aggregate Supply and Demand Analysis, Prices (Q11) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , India , Asia , Agricultural Productivity , Agriculture , CGE , Climate , Computable General Equilibrium , Development , Energy , GDP , Productivity , Revenue , Tax",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Climate+Policy+vs.+Agricultural+Productivity+Shocks+in+a+Dynamic+Computable+General+Equilibrium+%28CGE%29+Modeling+Framework%3A+The+Case+of+a+Developing+Economy&amp;title=Economic+Modelling&amp;issn=02649993&amp;date=2019-03-01&amp;volume=77&amp;issue=&amp;spage=55&amp;au=Pradhan%2C+Basanta+K%3BGhosh%2C+Joydeep&amp;isbn=&amp;jtitle=Economic+Modelling&amp;btitle=&amp;rft_id=info:eric/1766485&amp;rft_id=info:doi/10.1016%2Fj.econmod.2018.05.019,EconLit
"Discount Rates, Equity Weights and the Social Cost of Carbon","Equity weighting has been proposed as a way of allowing welfare equivalents to be included in the social cost of carbon since a dollar to a poor person is worth more than a dollar to a rich one. Here we use the PAGE2002 integrated assessment model to show that the social cost of carbon is higher without equity weights (an elasticity of marginal utility with respect to income of 0) than with them. This might seem counter-intuitive, but it comes about because of the logical link between equity weights and discount rates; as the elasticity goes from 0 to -0.5 to -1.0, the social rate of time preference rises, and the drop in present values that results far outweighs the small increase in impacts that equity weights bring.",,56821764, 0967292,Scholarly Journals,,"Hope, Chris",," Hope, Chris", 10.1016/j.eneco.2006.11.006, Journal Article,, May 2008,,0140-9883,3, English, English, 1011-1019,May 2008,Energy Economics," CSAPTjournals , CSAPTpeerjournals",2008,, American Economic Association,30,https://search.proquest.com/docview/56821764?accountid=14505," Energy Economics, vol. 30, no. 3, May 2008, pp. 1011-19", [URL:http://www.sciencedirect.com/science/journal/01409883] Publisher's URL, 1011," Climate, Natural Disasters and Their Management, Global Warming (Q54)",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Discount+Rates%2C+Equity+Weights+and+the+Social+Cost+of+Carbon&amp;title=Energy+Economics&amp;issn=01409883&amp;date=2008-05-01&amp;volume=30&amp;issue=3&amp;spage=1011&amp;au=Hope%2C+Chris&amp;isbn=&amp;jtitle=Energy+Economics&amp;btitle=&amp;rft_id=info:eric/0967292&amp;rft_id=info:doi/10.1016%2Fj.eneco.2006.11.006,EconLit
Climate Policy and Induced R&amp;D: How Great Is the Effect?,"Carbon taxes or tradable permit systems to address climate change may induce research and development in energy-related technologies. We construct a single-knowledge-stock model of R&D, growth and climate to assess the importance of this effect. The contribution of induced R&D is shown to be very sensitive to (i) the duplication externality, (ii) the feasibility of dedicated research subsidies to internalize inter-firm knowledge spillovers, (iii) the opportunity cost of R&D, (iv) the initial level of research expenditure, and (v) the elasticity of substitution between energy and other factors of production. In contrast, the direction and scale of the inter-temporal research spillover are of secondary importance. We find strong support for Rezai's (2011) argument that, when the business-as-usual scenario (no policy) is modeled appropriately (all externalities treated as external), sacrifices for early generations associated with optimal climate policy are minor or non-existent. Employing our preferred selections for the parameters, we find that adding an induced R&D component to the model increases the welfare impact of the first-best policy (optimally chosen carbon tax and research subsidies) by an average value of more than 400%, and of the second-best policy (carbon tax alone) by approximately 22%.",,1650521953, 1472533,Scholarly Journals,,"Shiell, Leslie;Lyssenko, Nikita",," Shiell, Leslie", 10.1016/j.eneco.2014.09.017, Journal Article,, November 2014,,0140-9883,, English, English, 279-294,November 2014,Energy Economics," CSAPTjournals , CSAPTpeerjournals",2014,, American Economic Association,46,https://search.proquest.com/docview/1650521953?accountid=14505," Energy Economics, vol. 46, November 2014, pp. 279-94", [URL:http://www.sciencedirect.com/science/journal/01409883] Publisher's URL, 279," Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Management of Technological Innovation and R&D (O32) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate , Externalities , Externality , R? Research and Development , Subsidies , Tax , Taxes , Technologies , Tradable Permits",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Climate+Policy+and+Induced+R%26amp%3BD%3A+How+Great+Is+the+Effect%3F&amp;title=Energy+Economics&amp;issn=01409883&amp;date=2014-11-01&amp;volume=46&amp;issue=&amp;spage=279&amp;au=Shiell%2C+Leslie%3BLyssenko%2C+Nikita&amp;isbn=&amp;jtitle=Energy+Economics&amp;btitle=&amp;rft_id=info:eric/1472533&amp;rft_id=info:doi/10.1016%2Fj.eneco.2014.09.017,EconLit
Selective Reporting and the Social Cost of Carbon,"We examine potential selective reporting (publication bias) in the literature on the social cost of carbon (SCC) by conducting a meta-analysis of 809 estimates of the SCC reported in 101 studies. Our results indicate that estimates for which the 95% confidence interval includes zero are less likely to be reported than estimates excluding negative values of the SCC, which might create an upward bias in the literature. The evidence for selective reporting is stronger for studies published in peer-reviewed journals than for unpublished papers. We show that the findings are not driven by the asymmetry of the confidence intervals surrounding the SCC and are robust to controlling for various characteristics of study design and to alternative definitions of confidence intervals. Our estimates of the mean reported SCC corrected for the selective reporting bias range between USD 0 and 134 per ton of carbon at 2010 prices for emission year 2015.",,1737998236, 1528390,Scholarly Journals,,"Havranek, Tomas;Irsova, Zuzana;Janda, Karel;Zilberman, David",," Havranek, Tomas", 10.1016/j.eneco.2015.08.009, Journal Article,, September 2015,,0140-9883,, English, English, 394-406,September 2015,Energy Economics," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,51,https://search.proquest.com/docview/1737998236?accountid=14505," Energy Economics, vol. 51, September 2015, pp. 394-406", [URL:http://www.sciencedirect.com/science/journal/01409883] Publisher's URL, 394," Air Pollution, Water Pollution, Noise, Hazardous Waste, Solid Waste, Recycling (Q53) , Climate, Natural Disasters and Their Management, Global Warming (Q54)",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Selective+Reporting+and+the+Social+Cost+of+Carbon&amp;title=Energy+Economics&amp;issn=01409883&amp;date=2015-09-01&amp;volume=51&amp;issue=&amp;spage=394&amp;au=Havranek%2C+Tomas%3BIrsova%2C+Zuzana%3BJanda%2C+Karel%3BZilberman%2C+David&amp;isbn=&amp;jtitle=Energy+Economics&amp;btitle=&amp;rft_id=info:eric/1528390&amp;rft_id=info:doi/10.1016%2Fj.eneco.2015.08.009,EconLit
"Consequences of a Carbon Tax on Household Electricity Use and Cost, Carbon Emissions, and Economics of Household Solar and Wind","The study was conducted to determine the consequences of a carbon tax, equal to an estimated social cost of carbon of $37.2/Mg, on household electricity cost, and to determine if a carbon tax would be sufficient to incentivize households to install either a grid-tied solar or wind system. U.S. Department of Energy hourly residential profiles for five locations, 20years of hourly weather data, prevailing electricity pricing rate schedules, and purchase prices and solar panel and wind turbine power output response functions, were used to address the objectives. Two commercially available household solar panels (4kW, 12kW), two wind turbines (6kW, 12kW), and two price rate structures (traditional meter, smart meter) were considered. Averaged across the five households, the carbon tax is expected to reduce annual consumption by 4.4% (552kWh/year) for traditional meter households and by 4.9% (611kWh/year) for households charged smart meter rates. The carbon tax increases electricity cost by 19% ($202/year). For a household cost of $202/year the carbon tax is expected to reduce social costs by $11. Annual carbon tax collections of $234/household are expected. Adding the carbon tax was found to be insufficient to incentivize households to install either a solar panel or wind turbine system. Installation of a 4kW solar system would increase the annual cost by $1546 (247%) and decrease CO2 emissions by 38% (2526kg) valued at $94/household. The consequence of a carbon tax would depend largely on how the proceeds of the tax are used.",,2001401440, 1680599,Scholarly Journals,,"Ghaith, Ahmad F;Epplin, Francis M",," Ghaith, Ahmad F", 10.1016/j.eneco.2017.08.012, Journal Article,, September 2017,,0140-9883,, English, English, 159-168,September 2017,Energy Economics," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,67,https://search.proquest.com/docview/2001401440?accountid=14505," Energy Economics, vol. 67, September 2017, pp. 159-68", [URL:http://www.sciencedirect.com/science/journal/01409883] Publisher's URL, 159," Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Electric Utilities (L94) , Energy: Demand and Supply, Prices (Q41) , Alternative Energy Sources (Q42) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , U.S. , Northern America , Electricity , Energy , Tax",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Consequences+of+a+Carbon+Tax+on+Household+Electricity+Use+and+Cost%2C+Carbon+Emissions%2C+and+Economics+of+Household+Solar+and+Wind&amp;title=Energy+Economics&amp;issn=01409883&amp;date=2017-09-01&amp;volume=67&amp;issue=&amp;spage=159&amp;au=Ghaith%2C+Ahmad+F%3BEpplin%2C+Francis+M&amp;isbn=&amp;jtitle=Energy+Economics&amp;btitle=&amp;rft_id=info:eric/1680599&amp;rft_id=info:doi/10.1016%2Fj.eneco.2017.08.012,EconLit
Climate Policies under Climate Model Uncertainty: Max-Min and Min-Max Regret,"Temperature responses and optimal climate policies depend crucially on the choice of a particular climate model. To illustrate, the temperature responses to given emission reduction paths implied by the climate modules of the well-known integrated assessments models DICE, FUND and PAGE are described and compared. A dummy temperature module based on the climate denialists' view is added. Using a simple welfare-maximising growth model of the global economy, the sensitivity of the optimal carbon price, renewable energy subsidy and energy transition to each of these climate models is discussed. The paper then derives max-min, max-max and min-max regret policies to deal with this particular form of climate (model) uncertainty and with climate scepticism. The max-min or min-max regret climate policies rely on a non-sceptic view of global warming and lead to a substantial and moderate amount of caution, respectively. The max-max leads to no climate policies in line with the view of climate sceptics.",,2027573190, 1696284,Scholarly Journals,,"Rezai, Armon;van der Ploeg, Frederick",," Rezai, Armon", 10.1016/j.eneco.2017.10.018, Journal Article,, October 2017,,0140-9883,, English, English, 4-16,October 2017,Energy Economics," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,68,https://search.proquest.com/docview/2027573190?accountid=14505," Energy Economics, vol. 68, Supplement October 2017, pp. 4-16", [URL:http://www.sciencedirect.com/science/journal/01409883] Publisher's URL, 4," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Climate+Policies+under+Climate+Model+Uncertainty%3A+Max-Min+and+Min-Max+Regret&amp;title=Energy+Economics&amp;issn=01409883&amp;date=2017-10-01&amp;volume=68&amp;issue=&amp;spage=4&amp;au=Rezai%2C+Armon%3Bvan+der+Ploeg%2C+Frederick&amp;isbn=&amp;jtitle=Energy+Economics&amp;btitle=&amp;rft_id=info:eric/1696284&amp;rft_id=info:doi/10.1016%2Fj.eneco.2017.10.018,EconLit
