ID_Number,Authors,Author.s..ID,Title,Year,Assigned To,Added or Not Relevant?,Justification for Not Relevant,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X
620,"Dietz, S., Venmans, F.",21734306100; 55323083100,Cumulative carbon emissions and economic policy: In search of general principles,2019,Simon,Added,,Journal of Environmental Economics and Management,96,,,108,129,NA,7,1,IR,,,10.1016/j.jeem.2019.04.003,"Paper develops a model of climate policy, determines an optimal carbon price",https://www.scopus.com/inward/record.url?eid=2-s2.0-85066239097&partnerID=40&md5=30cf4c13a2f64e21820e4bd2f6b22e8c,,Article,Final,Open Access,Scopus,2-s2.0-85066239097,
2407,"Dietz, S., Stern, N.",21734306100; 7103384515,"Endogenous growth, convexity of damage and climate risk: How Nordhaus' framework supports deep cuts in carbon emissions",2015,Simon,Added,,Economic Journal,125,583,,574,620,NA,102,NA,NST,1,FM,10.1111/ecoj.12188,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84925645545&partnerID=40&md5=3f2424c9852688f7ac222aa74eb09131,,Article,Final,Open Access,Scopus,2-s2.0-84925645545,
3168,"Dietz, S.",21734306100,"High impact, low probability? An empirical analysis of risk in the economics of climate change",2011,Simon,Added,,Climatic Change,108,3,,519,541,NA,46,0,CT,1,FM,10.1007/s10584-010-9993-4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-80052930965&partnerID=40&md5=0002f714167aa3e6761ad33895477bdf,,Article,Final,,Scopus,2-s2.0-80052930965,
2473,"Nocera, S., Tonin, S.",6701688799; 23478482700,A joint probability density function for reducing the uncertainty of marginal social cost of carbon evaluation in transport planning,2014,Delavane,,,Advances in Intelligent Systems and Computing,262,,,113,126,NA,19,1,NST,,,10.1007/978-3-319-04630-3_9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84921825005&partnerID=40&md5=9ead259303c69d040d5f6c5c6f6986ef,,Article,Final,,Scopus,2-s2.0-84921825005,
2252,"Intalar, N., Phusittrakool, A., Jeenanunta, C., Dumrongsiri, A., Yenradee, P.",56707424400; 56707425800; 14219246500; 23059827700; 6603467817,A multi-objective unit commitment model for setting carbon tax to reduce CO<inf>2</inf> emission: Thailand’s electricity generation case,2015,Ivan,Not relevant,Paper is about how a carbon tax affects electricity generation costs in Thailand,EnvironmentAsia,8,2,,9,17,NA,1,1,NST,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84934755716&partnerID=40&md5=859dcd576918e52243b73c21f03130ed,,Article,Final,,Scopus,2-s2.0-84934755716,
342,"Kaufman, N., Barron, A.R., Krawczyk, W., Marsters, P., McJeon, H.",55786146600; 57206314427; 57218556854; 57218552802; 57203106769,A near-term to net zero alternative to the social cost of carbon for setting carbon prices,2020,Simon,Not relevant,,Nature Climate Change,,,,,,NA,NA,1,NST,,,10.1038/s41558-020-0880-3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089463849&partnerID=40&md5=1852e1c05633ab74390086c4d7e89fbf,,Article,Article in Press,Open Access,Scopus,2-s2.0-85089463849,
750,"Tian, L., Ye, Q., Zhen, Z.",7202296248; 57204976490; 57190606849,A new assessment model of social cost of carbon and its situation analysis in China,2019,James,Delay,,Journal of Cleaner Production,211,,,1434,1443,NA,5,NA,NST,1,HFW,10.1016/j.jclepro.2018.11.117,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059303421&partnerID=40&md5=57aa2c12c8dd23730462326b8a151a40,,Article,Final,,Scopus,2-s2.0-85059303421,
3768,"Li, Bin",NA,A Quantitative Estimate on the Global Optimal Carbon Tax. (In Chinese. With English summary.),2013,Gernot,,,Journal of Quantitative and Technical Economics,30,4,NA,19,NA,NA,NA,1,CT,,,,,https://search.proquest.com/docview/1640476308?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
2883,"Newbold, S.C., Griffiths, C., Moore, C., Wolverton, A.N.N., Kopits, E.",10139389700; 7201983102; 57213137647; 23490875100; 13004682400,A rapid assessment model for understanding the social cost of carbon,2013,Moritz,,,Climate Change Economics,4,1,1350001,,,NA,16,1,CT,,,10.1142/S2010007813500012,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84905241330&partnerID=40&md5=61c82b255fa67d4b072953d07c715187,,Article,Final,,Scopus,2-s2.0-84905241330,
1992,"van den Bijgaart, I., Gerlagh, R., Liski, M.",57164889400; 6602746685; 6603144640,A simple formula for the social cost of carbon,2016,Ivan,Added,,Journal of Environmental Economics and Management,77,,,75,94,NA,39,1,NST,,,10.1016/j.jeem.2016.01.005,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84960480022&partnerID=40&md5=b0c89dfa3582627694c26b41e0bed34f,,Article,Final,,Scopus,2-s2.0-84960480022,
546,"Tol, R.S.J.",5.58E+10,A social cost of carbon for (almost) every country,2019,Delavane,,,Energy Economics,83,,,555,566,NA,8,1,YL,,,10.1016/j.eneco.2019.07.006,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071284972&partnerID=40&md5=6f20751b244862e5e6d7b292238f3e35,,Article,Final,,Scopus,2-s2.0-85071284972,
3795,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",NA,A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide,2011,Fran,Added,,"Economics: The Open-Access, Open-Assessment E-Journal",5,,NA,,NA,NA,NA,1,CT,,,,,https://search.proquest.com/docview/925698604?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
343,"Mallapragada, D.S., Mignone, B.K.",36680295600; 16646699400,A theoretical basis for the equivalence between physical and economic climate metrics and implications for the choice of Global Warming Potential time horizon,2020,Moritz,,,Climatic Change,158,2,,107,124,NA,NA,1,NST,,,10.1007/s10584-019-02486-7,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85073978705&partnerID=40&md5=db54f5f864c4cb69e7a6e22b4b23210f,,Article,Final,Open Access,Scopus,2-s2.0-85073978705,
2523,"Van der Ploeg, F.",6.70E+09,Abrupt positive feedback and the social cost of carbon,2014,Ivan,Added,,European Economic Review,67,,,28,41,NA,15,1,NST,,,10.1016/j.euroecorev.2014.01.004,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84893789474&partnerID=40&md5=e582b161eeb99321401c9a453c3b7ae9,,Article,Final,,Scopus,2-s2.0-84893789474,
588,"Hwang, I.C., Tol, R.S.J., Hofkes, M.W.",57034735200; 55765581600; 6602999858,Active Learning and Optimal Climate Policy,2019,Ivan,Added,,Environmental and Resource Economics,73,4,,1237,1264,NA,1,1,HFW,,,10.1007/s10640-018-0297-x,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85055998164&partnerID=40&md5=774cbcfc2b8491fa142a1270e5b08ddf,,Article,Final,,Scopus,2-s2.0-85055998164,
2532,"Heal, G.M., Millner, A.",56070067100; 25926622900,Agreeing to disagree on climate policy,2014,Fran,Added,,Proceedings of the National Academy of Sciences of the United States of America,111,10,,3695,3698,NA,30,1,NST,,,10.1073/pnas.1315987111,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84896294587&partnerID=40&md5=10c24d85ab0596110164cc8f7ab75dee,,Article,Final,Open Access,Scopus,2-s2.0-84896294587,
3025,"Zang, H., Xu, Y., Li, W., Huang, G., Liu, D.",36119453100; 57198771607; 56178782600; 55489745300; 57199027589,An uncertain energy planning model under carbon taxes,2012,James,Not relevant,No damages,Frontiers of Environmental Science and Engineering in China,6,4,,549,558,NA,4,1,CT,,,10.1007/s11783-012-0414-y,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84865570868&partnerID=40&md5=8af4aaad51c9fb8360498c9ba4079a88,,Article,Final,,Scopus,2-s2.0-84865570868,
786,"Bretschger, L., Pattakou, A.",6602609744; 57195226165,As Bad as it Gets: How Climate Damage Functions Affect Growth and the Social Cost of Carbon,2019,Gernot,,,Environmental and Resource Economics,72,1,,5,26,NA,14,1,NST,,,10.1007/s10640-018-0219-y,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85040862423&partnerID=40&md5=9448fad46bf376d7279bb78a0dc61b54,,Article,Final,Open Access,Scopus,2-s2.0-85040862423,
2200,"Mattauch, L., Creutzig, F., Edenhofer, O.",56613385200; 23995215600; 55868364000,Avoiding carbon lock-in: Policy options for advancing structural change,2015,Simon,Not relevant?,,Economic Modelling,50,,,49,63,NA,14,1,NST,,,10.1016/j.econmod.2015.06.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84935036809&partnerID=40&md5=6a1af9c4db3e8c181162aab72baae171,,Article,Final,,Scopus,2-s2.0-84935036809,
1191,"Barrage, L.",3.52E+10,Be careful what you calibrate for: Social discounting in general equilibrium,2018,Moritz,,,Journal of Public Economics,160,,,33,49,NA,5,1,AZ,,,10.1016/j.jpubeco.2018.02.012,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85043601241&partnerID=40&md5=c76a30340182bcae72accda4dd8da9c4,,Article,Final,,Scopus,2-s2.0-85043601241,
3557,"Lindholt, L.",8.91E+09,Beyond Kyoto: Backstop technologies and endogenous prices on CO<inf>2</inf> permits and fossil fuels,2005,Delavane,,,Applied Economics,37,17,,2019,2036,NA,2,NA,CT,1,NST,10.1080/00036840500217697,,https://www.scopus.com/inward/record.url?eid=2-s2.0-27144513726&partnerID=40&md5=dbceca4fb712bd021e5270d50f18cbc1,,Article,Final,,Scopus,2-s2.0-27144513726,
2514,"Gerlagh, R.",6.60E+09,"Calculating the social costs of carbon without knowing preferences comment on ""a rapid assessment model for understanding the social cost of carbon""",2014,Fran,Not relevant,"Critique of Newbold et al 2013 - pointing out sensitivity to currency choice in calcuating ""certainty equivalent"" SCC values",Climate Change Economics,5,2,1450004,,,NA,3,1,NST,,,10.1142/S2010007814500043,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85027423131&partnerID=40&md5=b9bfa9e5f765a1232d6c28e7fcae0f15,,Article,Final,,Scopus,2-s2.0-85027423131,
2219,"Nocera, S., Tonin, S., Cavallaro, F.",6701688799; 23478482700; 50861201600,Carbon estimation and urban mobility plans: Opportunities in a context of austerity,2015,Moritz,,,Research in Transportation Economics,51,,,71,82,NA,20,1,NST,,,10.1016/j.retrec.2015.07.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84981267531&partnerID=40&md5=f37761a0dee28813173b92072cb8ad1a,,Article,Final,,Scopus,2-s2.0-84981267531,
1209,"Gerlagh, R., Liski, M.",6602746685; 6603144640,Carbon Prices for the Next Hundred Years,2018,Simon,Added,,Economic Journal,128,609,,728,757,NA,16,1,AZ,,,10.1111/ecoj.12436,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019661830&partnerID=40&md5=cd2cc35016ebb40afd99e934e9862c64,,Article,Final,,Scopus,2-s2.0-85019661830,
1543,"Belfiori, M.E.",5.72E+10,"Carbon pricing, carbon sequestration and social discounting",2017,James,Not relevant,Analytical-only,European Economic Review,96,,,1,17,NA,6,1,NST,,,10.1016/j.euroecorev.2017.03.015,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85018762293&partnerID=40&md5=175bcaba48e4c6fdbfac7df3c3888326,,Article,Final,,Scopus,2-s2.0-85018762293,
1781,"Wesseh, P.K., Lin, B., Atsagli, P.",55337880800; 35098935000; 57044730700,"Carbon taxes, industrial production, welfare and the environment",2017,Delavane,,,Energy,123,,,305,313,NA,15,1,NST,,,10.1016/j.energy.2017.01.139,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85012108007&partnerID=40&md5=64f61dc1f400f5fbf824ff719eff0772,,Article,Final,,Scopus,2-s2.0-85012108007,
2388,"Halkos, G.E.",6.70E+09,Climate change actions for sustainable development,2015,Gernot,,,International Journal of Innovation and Sustainable Development,9,2,,118,136,NA,7,1,NST,,,10.1504/IJISD.2015.068785,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928029068&partnerID=40&md5=14501279cd22994f7fb843281cf70556,,Article,Final,,Scopus,2-s2.0-84928029068,
240,"Lamperti, F., Dosi, G., Napoletano, M., Roventini, A., Sapio, A.",56966583400; 6603808130; 16507515900; 24067448600; 36158705400,Climate change and green transitions in an agent-based integrated assessment model,2020,James,Not relevant,No marginal effects computed,Technological Forecasting and Social Change,153,,119806,,,NA,1,1,NST,,,10.1016/j.techfore.2019.119806,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85078903897&partnerID=40&md5=7a396cf28d50836d5c711a9050ced1d8,,Article,Final,,Scopus,2-s2.0-85078903897,
1474,"Brock, W., Xepapadeas, A.",35319716100; 6701402028,Climate change policy under polar amplification,2017,Fran,Added,,European Economic Review,99,,,93,112,NA,3,1,NST,,,10.1016/j.euroecorev.2017.06.008,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032165564&partnerID=40&md5=50c61149a345708f87ba066c7944a2e4,,Article,Final,,Scopus,2-s2.0-85032165564,
1185,"Guivarch, C., Pottier, A.",26635149200; 55452147300,Climate Damage on Production or on Growth: What Impact on the Social Cost of Carbon?,2018,Simon,Added,,Environmental Modeling and Assessment,23,2,,117,130,NA,3,1,AZ,,,10.1007/s10666-017-9572-4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85030712697&partnerID=40&md5=3d45c3829e64ede59b5fe54ca165814f,,Article,Final,,Scopus,2-s2.0-85030712697,
3050,"Ackerman, F., Munitz, C.",36877553300; 55177026700,Climate damages in the FUND model: A disaggregated analysis,2012,Moritz,,,Ecological Economics,77,,,219,224,NA,28,NA,CT,1,NST,10.1016/j.ecolecon.2012.03.005,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84860307684&partnerID=40&md5=dab7e85930f7ad46ee5d31171f86ef4c,,Article,Final,,Scopus,2-s2.0-84860307684,
108,"Hänsel, M.C., Drupp, M.A., Johansson, D.J.A., Nesje, F., Azar, C., Freeman, M.C., Groom, B., Sterner, T.",57217775596; 36715802200; 7003521825; 57204868529; 7005678429; 8349635100; 9740614000; 7003689925,Climate economics support for the UN climate targets,2020,Moritz,,,Nature Climate Change,10,8,,781,789,NA,1,1,IR,,,10.1038/s41558-020-0833-x,Compute optimal climate paths in DICE,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087809178&partnerID=40&md5=7d1b58780fb646ef9f46dc22121ebb5e,,Article,Final,Open Access,Scopus,2-s2.0-85087809178,
2562,"Moyer, E.J., Woolley, M.D., Matteson, N.J., Glotter, M.J., Weisbach, D.A.",7006539346; 7006124453; 56395522700; 55826694700; 6603138636,Climate impacts on economic growth as drivers of uncertainty in the social cost of carbon,2014,Delavane,,,Journal of Legal Studies,43,2,,401,425,NA,29,1,NST,,,10.1086/678140,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84908259726&partnerID=40&md5=17da77aa3bdd2d37dcd84d7b13b7b7d7,,Article,Final,,Scopus,2-s2.0-84908259726,
1538,"Chen, D.B., van der Beek, J., Cloud, J.",57203160379; 57203158389; 57203162132,Climate mitigation policy as a system solution: addressing the risk cost of carbon,2017,Ivan,Not relevant,No estimates and something about risk and currency,Journal of Sustainable Finance and Investment,7,3,,233,274,NA,3,1,NST,,,10.1080/20430795.2017.1314814,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85050765304&partnerID=40&md5=e5e7b96f142b3a3f5383c8ad09750c12,,Article,Final,,Scopus,2-s2.0-85050765304,
1465,"Rezai, A., van der Ploeg, F.",36859652300; 6701915911,Climate policies under climate model uncertainty: Max-min and min-max regret,2017,Simon,Added,,Energy Economics,68,,,4,16,NA,4,1,NST,,,10.1016/j.eneco.2017.10.018,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85033566417&partnerID=40&md5=a4456ccbf63dc0ebc7d5d1c9de82318e,,Article,Final,,Scopus,2-s2.0-85033566417,
1949,"Hassler, J., Krusell, P., Nycander, J.",7004726994; 57203285766; 7003720413,Climate policy,2016,James,Added,,Economic Policy,31,87,eiw007,503,558,NA,6,1,NST,,,10.1093/epolic/eiw007,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85014396079&partnerID=40&md5=4a82e17cd0d868f70f7fae0d5e21df5a,,Article,Final,Open Access,Scopus,2-s2.0-85014396079,
2913,"Hwang, I.C., Reynès, F., Tol, R.S.J.",57034735200; 15729827000; 55765581600,Climate Policy Under Fat-Tailed Risk: An Application of Dice,2013,Gernot,,,Environmental and Resource Economics,56,3,,415,436,NA,15,NA,CT,1,NST,10.1007/s10640-013-9654-y,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84887319232&partnerID=40&md5=224aadad199839ebf10555473d19058d,,Article,Final,,Scopus,2-s2.0-84887319232,
2599,"Anthoff, D., Tol, R.S.J.",13002913500; 55765581600,Climate policy under fat-tailed risk: An application of FUND,2014,Ivan,Added,,Annals of Operations Research,220,1,,223,237,NA,9,1,NST,,,10.1007/s10479-013-1343-2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84906076872&partnerID=40&md5=783b46f5a6a841cf141d6555ee78048c,,Article,Final,,Scopus,2-s2.0-84906076872,
2952,"Schmidt, M.G.W., Held, H., Kriegler, E., Lorenz, A.",57199866211; 7005187754; 55881072300; 26537921200,Climate Policy Under Uncertain and Heterogeneous Climate Damages,2013,Fran,Not Relevant,"Paper is relevant (about damge heterogeneity, uncertainty and inequality aversion), but does not report a SCC. ",Environmental and Resource Economics,54,1,,79,99,NA,10,NA,CT,1,NST,10.1007/s10640-012-9582-2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84872815540&partnerID=40&md5=f220124d3cdf50768c615eb8e46ee929,,Article,Final,,Scopus,2-s2.0-84872815540,
1170,"Botzen, W.J.W., Van Den Bergh, J.C.J.M., Chichilnisky, G.",24072972400; 7006196632; 7004033812,Climate policy without intertemporal dictatorship: Chichilnisky criterion versus classical utilitarianism in dice,2018,Moritz,,,Climate Change Economics,9,2,1850002,,,NA,1,1,AZ,,,10.1142/S2010007818500021,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85045452854&partnerID=40&md5=5528fb36794c20908bca2c34c72deab7,,Article,Final,,Scopus,2-s2.0-85045452854,
3395,"Newbold, S.C., Daigneault, A.",10139389700; 12767813000,Climate response uncertainty and the benefits of greenhouse gas emissions reductions,2009,Fran,Not Relevant,"Paper is relevant (about fat tailed uncertainty) but reports total WTP to avoid climate damages, not marginal SCC",Environmental and Resource Economics,44,3,,351,377,NA,37,1,CT,,,10.1007/s10640-009-9290-8,,https://www.scopus.com/inward/record.url?eid=2-s2.0-76149142167&partnerID=40&md5=f370377a83ec62f1d171709597a95211,,Article,Final,,Scopus,2-s2.0-76149142167,
3016,"Ackerman, F., Stanton, E.A.",36877553300; 20434608100,Climate risks and carbon prices: Revising the social cost of carbon,2012,Delavane,,,Economics,6,,,,,NA,128,1,CT,,,10.5018/economics-ejournal.ja.2012-10,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84865101604&partnerID=40&md5=0ff3ee7772a00041bd5d2869769cae19,,Article,Final,Open Access,Scopus,2-s2.0-84865101604,
137,"Dayaratna, K.D., McKitrick, R., Michaels, P.J.",13405218400; 6603036806; 57214481486,"Climate sensitivity, agricultural productivity and the social cost of carbon in FUND",2020,Fran,Added,,Environmental Economics and Policy Studies,22,3,,433,448,NA,1,NA,LE,1,NST,10.1007/s10018-020-00263-w,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85078298879&partnerID=40&md5=e1e65de3190aef35c551147b9f06b4c2,,Article,Final,Open Access,Scopus,2-s2.0-85078298879,
1004,"van der Ploeg, F., de Zeeuw, A.",6701915911; 6602858312,Climate tipping and economic growth: Precautionary capital and the price of carbon,2018,Simon,Added,,Journal of the European Economic Association,16,5,,1577,1617,NA,7,1,AZ,,,10.1093/jeea/jvx036,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85054690814&partnerID=40&md5=e93b898e9490961ec15561c187b38bad,,Article,Final,,Scopus,2-s2.0-85054690814,
924,"Ekholm, T.",2.36E+10,Climatic Cost-benefit Analysis Under Uncertainty and Learning on Climate Sensitivity and Damages,2018,Ivan,Added,,Ecological Economics,154,,,99,106,NA,4,1,NST,,,10.1016/j.ecolecon.2018.07.024,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85051140978&partnerID=40&md5=f4fd70a5196cc58df1c4687f3e733ced,,Article,Final,,Scopus,2-s2.0-85051140978,
1130,"Shawhan, D.L.",3.62E+10,Co-emission and welfare effects of electricity policy and market changes: Results from the EMF 32 model intercomparison project,2018,Delavane,,,Energy Economics,73,,,380,392,NA,1,NA,AZ,1,HFW,10.1016/j.eneco.2018.03.034,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85047546782&partnerID=40&md5=15411c84a1768fe793afd131c29d087c,,Article,Final,,Scopus,2-s2.0-85047546782,
1541,"Pindyck, R.S.",6.70E+09,"Coase Lecture—Taxes, Targets and the Social Cost of Carbon",2017,James,Added,,Economica,84,335,,345,364,NA,10,1,NST,,,10.1111/ecca.12243,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019749210&partnerID=40&md5=c7dfd07992b6f87e744a24c4d526288a,,Article,Final,Open Access,Scopus,2-s2.0-85019749210,
188,"Chan, Y.T.",5.72E+10,Collaborative optimal carbon tax rate under economic and energy price shocks: A dynamic stochastic general equilibrium model approach,2020,Delavane,,,Journal of Cleaner Production,256,,120452,,,NA,1,1,NST,,,10.1016/j.jclepro.2020.120452,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85079327423&partnerID=40&md5=c4d5216a44d6c02b89d638ce9ba732cb,,Article,Final,,Scopus,2-s2.0-85079327423,
808,"Asplund, D.",5.72E+10,Combining discounting and distributional weights. Lessons from climate change economic assessments,2019,Gernot,,,Economics and Policy of Energy and the Environment,2019,1,,181,201,NA,NA,NA,NST,1,HFW,10.3280/EFE2019-001012,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084291636&partnerID=40&md5=ef3137eb5cf00138bbba9c08c79aa9e8,,Article,Final,,Scopus,2-s2.0-85084291636,
3634,"Pizer, W.A.",6.60E+09,Combining price and quantity controls to mitigate global climate change,2002,Simon,Added,,Journal of Public Economics,85,3,,409,434,NA,305,1,CT,,,10.1016/S0047-2727(01)00118-9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0036314604&partnerID=40&md5=6c4a95b9a3b54e1b06401ea8d288a190,,Article,Final,,Scopus,2-s2.0-0036314604,
3758,"Hope, Chris W",NA,Commentary: The Social Cost of Carbon: What Does It Actually Depend On?,2006,James,Added,,Climate Policy,6,5,NA,565,NA,NA,NA,NA,CT,1,NST,,,https://search.proquest.com/docview/56646221?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
