,Authors,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X,,
17,"Harding, A.R., Ricke, K., Heyen, D., MacMartin, D.G., Moreno-Cruz, J.",57192937322; 26325911300; 55624185000; 6701588531; 36872459400,Climate econometric models indicate solar geoengineering would reduce inter-country income inequality,2020,Nature Communications,11,1,227,,,NA,2,0,IR,,,10.1038/s41467-019-13957-x,About geoengineering,https://www.scopus.com/inward/record.url?eid=2-s2.0-85077786205&partnerID=40&md5=fe31821ebdfefeba3e29eff20da6176d,,Article,Final,Open Access,Scopus,2-s2.0-85077786205,,,
19,"Molina, C., Akçay, E., Dieckmann, U., Levin, S.A., Rovenskaya, E.A.",56675396900; 12544970300; 7003359350; 26643470900; 6504768192,Combating climate change with matching-commitment agreements,2020,Scientific Reports,10,1,10251,,,NA,NA,0,IR,,,10.1038/s41598-020-63446-1,"Game theory paper, not about estimating a SCC",https://www.scopus.com/inward/record.url?eid=2-s2.0-85086727758&partnerID=40&md5=6396f96397bd0be6c1e91d796a383caf,,Article,Final,Open Access,Scopus,2-s2.0-85086727758,,,
20,"Wei, Y.-M., Han, R., Wang, C., Yu, B., Liang, Q.-M., Yuan, X.-C., Chang, J., Zhao, Q., Liao, H., Tang, B., Yan, J., Cheng, L., Yang, Z.",13005705700; 57189331416; 55817007900; 38663804100; 13002620600; 55438199300; 57202107350; 57216406101; 55222159400; 55327419900; 56472123400; 55474036900; 56171370000,Self-preservation strategy for approaching global warming targets in the post-Paris Agreement era,2020,Nature Communications,11,1,1624,,,NA,6,0,IR,,,10.1038/s41467-020-15453-z,"Paper is about effort-sharing, not optimal global policy",https://www.scopus.com/inward/record.url?eid=2-s2.0-85083406109&partnerID=40&md5=1baf2c554de731215c2a77036dc2fdfb,,Article,Final,Open Access,Scopus,2-s2.0-85083406109,,,
21,"Sandhu, H., Scialabba, N.E.-H., Warner, C., Behzadnejad, F., Keohane, K., Houston, R., Fujiwara, D.",16175859100; 23101235500; 57215428655; 57188843082; 57215436316; 57215408575; 56992848400,"Evaluating the holistic costs and benefits of corn production systems in Minnesota, US",2020,Scientific Reports,10,1,3922,,,NA,NA,0,IR,,,10.1038/s41598-020-60826-5,Paper is about corn,https://www.scopus.com/inward/record.url?eid=2-s2.0-85080914355&partnerID=40&md5=08c2cc385bff8414077f8dea4ca68c72,,Article,Final,Open Access,Scopus,2-s2.0-85080914355,,,
495,"Daniel, K.D., Litterman, R.B., Wagner, G.",57217715943; 6508045097; 16644151000,Declining CO<inf>2</inf> price paths,2019,Proceedings of the National Academy of Sciences of the United States of America,116,42,,20886,20891,NA,5,1,IR,,,10.1073/pnas.1817444116,"Paper is about CO2 price paths, abstract is a little vague so I could see coding this as NA as well",https://www.scopus.com/inward/record.url?eid=2-s2.0-85073308393&partnerID=40&md5=1d378f0bfc6607eeedc0b607f10358d1,,Article,Final,Open Access,Scopus,2-s2.0-85073308393,,,
108,"Hänsel, M.C., Drupp, M.A., Johansson, D.J.A., Nesje, F., Azar, C., Freeman, M.C., Groom, B., Sterner, T.",57217775596; 36715802200; 7003521825; 57204868529; 7005678429; 8349635100; 9740614000; 7003689925,Climate economics support for the UN climate targets,2020,Nature Climate Change,10,8,,781,789,NA,1,1,IR,,,10.1038/s41558-020-0833-x,Compute optimal climate paths in DICE,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087809178&partnerID=40&md5=7d1b58780fb646ef9f46dc22121ebb5e,,Article,Final,Open Access,Scopus,2-s2.0-85087809178,,,
2329,"Moore, F.C., Diaz, D.B.",55066845400; 56519315300,Temperature impacts on economic growth warrant stringent mitigation policy,2015,Nature Climate Change,5,2,,127,131,NA,203,1,IR,,,10.1038/nclimate2481,Paper is about optimal climate policy in DICE,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922984518&partnerID=40&md5=64532d34080a2f5553456bddf2d8f654,,Article,Final,,Scopus,2-s2.0-84922984518,,,
22,"He, C., Huang, G., Liu, L., Li, Y., Zheng, B., Guan, Y.",57210190445; 57218766930; 57200230296; 26531210500; 57205302824; 57204567199,A multi-perspective factorial hypothetical simulation model for cutting the carbon emission intensity of China,2020,Journal of Cleaner Production,275,,123943,,,NA,NA,0,LE,0,HFW,10.1016/j.jclepro.2020.123943,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091249227&partnerID=40&md5=e2a00b22328ec34ef9a8562c1840a352,,Article,Final,,Scopus,2-s2.0-85091249227,,,
23,"Engström, G., Gars, J., Krishnamurthy, C., Spiro, D., Calel, R., Lindahl, T., Narayanan, B.",34876547100; 56422527200; 56470498300; 54385828400; 55251707100; 25936582900; 35435545600,Carbon pricing and planetary boundaries,2020,Nature Communications,11,1,4688,,,NA,NA,0,LE,,,10.1038/s41467-020-18342-7,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091192214&partnerID=40&md5=34ff0bc1f0dcbe598cc17dd13b21eeb9,,Article,Final,Open Access,Scopus,2-s2.0-85091192214,,,
24,"Sun, Y., Mao, X., Liu, G., Yin, X., Zhao, Y.",57218148676; 7402841289; 24331910600; 23502640800; 57219028021,Greener economic development via carbon taxation scheme optimization,2020,Journal of Cleaner Production,275,,124100,,,NA,NA,0,LE,,,10.1016/j.jclepro.2020.124100,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091060932&partnerID=40&md5=7b9bb48653fdb39b03bc7d71ac546b94,,Article,Final,,Scopus,2-s2.0-85091060932,,,
25,"Fernandes, M.M., Fernandes, M.R.D.M., Garcia, J.R., Matricardi, E.A.T., de Almeida, A.Q., Pinto, A.S., Menezes, R.S.C., Silva, A.D.J., Lima, A.H.D.S.",23994774200; 56589449900; 36337892900; 6505861466; 25629508500; 57217050525; 7006750313; 57217046432; 57217044702,"Assessment of land use and land cover changes and valuation of carbon stocks in the Sergipe semiarid region, Brazil: 1992–2030",2020,Land Use Policy,99,,104795,,,NA,NA,0,LE,,,10.1016/j.landusepol.2020.104795,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085956556&partnerID=40&md5=79bc69ec15992c39b359628388438ba2,,Article,Final,,Scopus,2-s2.0-85085956556,,,
26,"Chen, Y., Liu, A., Moore, J.C.",57203573569; 57203568753; 57207008570,Mitigation of Arctic permafrost carbon loss through stratospheric aerosol geoengineering,2020,Nature Communications,11,1,2430,,,NA,NA,0,LE,,,10.1038/s41467-020-16357-8,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084787155&partnerID=40&md5=fb94ffad845fb588ccb71e7128e93951,,Article,Final,Open Access,Scopus,2-s2.0-85084787155,,,
27,"Chen, Y., Qu, K., Pan, Z., Yu, T.",57192656822; 57192654905; 57195105695; 57206244807,Multi-objective electricity-gas flow with stochastic dispersion control for air pollutants using two-stage Pareto optimization,2020,Applied Energy,279,,115773,,,NA,NA,0,LE,,,10.1016/j.apenergy.2020.115773,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85090340476&partnerID=40&md5=0ccf29ef43991c17761a1f5ef792f930,,Article,Final,,Scopus,2-s2.0-85090340476,,,
28,"Feng, Q., Wu, Z., Zhang, W.",57200991150; 56039528300; 57218200660,Carbon emissions market adjustment in the electricity supply sector: A government perspective,2020,Journal of Cleaner Production,275,,123132,,,NA,NA,0,LE,,,10.1016/j.jclepro.2020.123132,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088903298&partnerID=40&md5=16b2ab0de68ca08fd766705e80098998,,Article,Final,,Scopus,2-s2.0-85088903298,,,
29,"Yang, H., O'Connell, J.F.",57164120100; 8506007600,Short-term carbon emissions forecast for aviation industry in Shanghai,2020,Journal of Cleaner Production,275,,122734,,,NA,NA,0,LE,,,10.1016/j.jclepro.2020.122734,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088661363&partnerID=40&md5=196188ca5ed22a9321592846208a2456,,Article,Final,,Scopus,2-s2.0-85088661363,,,
30,"Yang, B., Chen, X., Wang, Z., Li, W., Zhang, C., Yao, X.",57215097166; 54784114100; 36609371200; 35368706300; 56096971200; 36572780700,"Analyzing land use structure efficiency with carbon emissions: A case study in the Middle Reaches of the Yangtze River, China",2020,Journal of Cleaner Production,274,,123076,,,NA,1,0,LE,,,10.1016/j.jclepro.2020.123076,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088217970&partnerID=40&md5=e9dc3ea499b097bc3a418baed1179b95,,Article,Final,,Scopus,2-s2.0-85088217970,,,
31,"Al-Breiki, M., Bicer, Y.",57215576983; 6602334568,Comparative cost assessment of sustainable energy carriers produced from natural gas accounting for boil-off gas and social cost of carbon,2020,Energy Reports,6,,,1897,1909,NA,NA,0,LE,,,10.1016/j.egyr.2020.07.013,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088301005&partnerID=40&md5=113c841251f82f0f82aab56d7f617158,,Article,Final,Open Access,Scopus,2-s2.0-85088301005,,,
32,"Kaushal, V., Najafi, M.",57208001891; 23009146200,Comparative Analysis of Environmental and Social Costs of Trenchless Cured-in-Place Pipe Renewal Method with Open-Cut Pipeline Replacement for Sanitary Sewers,2020,Journal of Pipeline Systems Engineering and Practice,11,4,4020037,,,NA,NA,0,LE,,,10.1061/(ASCE)PS.1949-1204.0000480,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087546951&partnerID=40&md5=ba8f1fc08f47ae554c1ab5e75adc6447,,Article,Final,,Scopus,2-s2.0-85087546951,,,
33,"Benchekroun, H., van der Meijden, G., Withagen, C.",6603215221; 56604242900; 7003930644,"OPEC, unconventional oil and climate change - On the importance of the order of extraction",2020,Journal of Environmental Economics and Management,104,,102384,,,NA,NA,0,LE,,,10.1016/j.jeem.2020.102384,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091338620&partnerID=40&md5=252a5e875aeb0ba636b665a9cdc46815,,Article,Final,Open Access,Scopus,2-s2.0-85091338620,,,
34,"Choma, E.F., Evans, J.S., Hammitt, J.K., Gómez-Ibáñez, J.A., Spengler, J.D.",57015265000; 57213307397; 56478640200; 6602457472; 7102395742,Assessing the health impacts of electric vehicles through air pollution in the United States,2020,Environmental International,144,,106015,,,NA,NA,0,LE,,,10.1016/j.envint.2020.106015,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089814152&partnerID=40&md5=56451abc9702dfa6cc197f4783557a9c,,Article,Final,Open Access,Scopus,2-s2.0-85089814152,,,
35,"Ortega-Izquierdo, M., Río, P.D.",57188965763; 55996831700,An analysis of the socioeconomic and environmental benefits of wind energy deployment in Europe,2020,Renewable Energy,160,,,1067,1080,NA,NA,0,LE,,,10.1016/j.renene.2020.06.133,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088826933&partnerID=40&md5=908dc75495397a1b1fe276b46cc91b62,,Article,Final,,Scopus,2-s2.0-85088826933,,,
36,"Yamaguchi, R., Shah, P.",37082546800; 55430008500,Spatial discounting of ecosystem services,2020,Resource and Energy Economics,62,,101186,,,NA,NA,0,LE,,,10.1016/j.reseneeco.2020.101186,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088126094&partnerID=40&md5=988549367f678bf57f5999e550aada23,,Article,Final,Open Access,Scopus,2-s2.0-85088126094,,,
37,"Al-Amin, A.Q., Masud, M.M., Kabir Sarkar, M.S., Filho, W.L., Doberstein, B.",23481119100; 39863273100; 56194109700; 57210792153; 6507773637,Analysing the socioeconomic and motivational factors affecting the willingness to pay for climate change adaptation in Malaysia,2020,International Journal of Disaster Risk Reduction,50,,101708,,,NA,NA,0,LE,,,10.1016/j.ijdrr.2020.101708,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087074311&partnerID=40&md5=d459c0575c6aeb02e388f5e031a3a180,,Article,Final,,Scopus,2-s2.0-85087074311,,,
38,"Rohal, M., Ainsworth, C., Lupher, B., Montagna, P.A., Paris, C.B., Perlin, N., Suprenand, P.M., Yoskowitz, D.",56405585900; 8728699400; 57218680113; 7102152908; 7005131272; 6506321397; 56472844600; 6506570382,The effect of the Deepwater Horizon oil spill on two ecosystem services in the Northern Gulf of Mexico,2020,Environmental Modelling and Software,133,,104793,,,NA,NA,0,LE,,,10.1016/j.envsoft.2020.104793,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85090003826&partnerID=40&md5=276525e7158ed4d034829510fb56983f,,Article,Final,,Scopus,2-s2.0-85090003826,,,
39,"Liu, J., Ke, H., Tian, G.",57195602774; 55122943400; 36619290600,Impact of emission reduction investments on decisions and profits in a supply chain with two competitive manufacturers,2020,Computers and Industrial Engineering,149,,106784,,,NA,NA,0,LE,,,10.1016/j.cie.2020.106784,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089908241&partnerID=40&md5=8d0d1a133f1ee3f4e647c533e1e4c919,,Article,Final,,Scopus,2-s2.0-85089908241,,,
40,"Chan, Y.T.",57211095857,Optimal emissions tax rates under habit formation and social comparisons,2020,Energy Policy,146,,111809,,,NA,NA,1,LE,,,10.1016/j.enpol.2020.111809,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089660734&partnerID=40&md5=68ee0c9aefc62c6ac45b53a81befa91e,,Article,Final,,Scopus,2-s2.0-85089660734,,,
41,"Zhao, H., Song, S., Zhang, Y., Liao, Y., Yue, F.",57194699180; 13310063000; 7601314406; 57195432109; 57195436942,Optimal decisions in supply chains with a call option contract under the carbon emissions tax regulation,2020,Journal of Cleaner Production,271,,122199,,,NA,NA,0,LE,,,10.1016/j.jclepro.2020.122199,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087780077&partnerID=40&md5=33b232f96525808953d129d7cf9651f1,,Article,Final,,Scopus,2-s2.0-85087780077,,,
42,"Fu, M., Gu, L., Zhen, Z., Sun, M., Tian, L.",57217849224; 57203849861; 57190606849; 57217851981; 7202296248,Optimal carbon tax income distribution and health welfare spillover effect based on health factors,2020,Applied Energy,276,,115475,,,NA,NA,0,LE,,,10.1016/j.apenergy.2020.115475,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087735929&partnerID=40&md5=b1cf059443068eee756fd953035cc437,,Article,Final,,Scopus,2-s2.0-85087735929,,,
43,"Culaba, A.B., Del Rosario, A.J.R., Ubando, A.T., Chang, J.-S.",6508063649; 57208147641; 55326454500; 8567368700,Optimal design of an integrated renewable-storage energy system in a mixed-use building,2020,International Journal of Energy Research,44,12,,9646,9658,NA,NA,0,LE,,,10.1002/er.5488,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85083778111&partnerID=40&md5=fdf64618cf63a9753c46090214440687,,Article,Final,,Scopus,2-s2.0-85083778111,,,
44,"Karimzadeh Jafari, E., Naghavi, H., Adeli, K., Latifi, H.",57214826810; 26423179000; 25226820500; 15073733900,"A Nondestructive, Remote Sensing-Based Estimation of the Economic Value of Aboveground Temperate Forest Biomass (Case Study: Hyrcanian Forests, Nowshahr-Iran)",2020,Journal of Sustainable Forestry,39,7,,750,770,NA,NA,0,LE,,,10.1080/10549811.2020.1723645,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85079214264&partnerID=40&md5=fa89e541a9fbad75b6d8135f8b024a9b,,Article,Final,,Scopus,2-s2.0-85079214264,,,
45,"Kellogg, R.",36868188600,Output and attribute-based carbon regulation under uncertainty,2020,Journal of Public Economics,190,,104246,,,NA,NA,0,LE,,,10.1016/j.jpubeco.2020.104246,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089560593&partnerID=40&md5=14d8b120e9fb0df24d1e2df6c890ee77,,Article,Final,,Scopus,2-s2.0-85089560593,,,
46,"Howard, D.B., Soria, R., Thé, J., Schaeffer, R., Saphores, J.-D.",57205504635; 55675067800; 23010872800; 57204785123; 6602154152,The energy-climate-health nexus in energy planning: A case study in Brazil,2020,Renewable and Sustainable Energy Reviews,132,,110016,,,NA,NA,0,LE,,,10.1016/j.rser.2020.110016,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088030002&partnerID=40&md5=8121ba214bf77af52504c339a874e4ab,,Article,Final,,Scopus,2-s2.0-85088030002,,,
47,"Lindsey, R., Santos, G.",7005873694; 7102014634,Addressing transportation and environmental externalities with economics: Are policy makers listening?,2020,Research in Transportation Economics,82,,100872,,,NA,NA,0,LE,,,10.1016/j.retrec.2020.100872,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088982996&partnerID=40&md5=c3630baad1b9fce9215671dd95b556dd,,Article,Final,,Scopus,2-s2.0-85088982996,,,
48,"Trapp, A.C., Harris, I., Sanchez Rodrigues, V., Sarkis, J.",24780062400; 35177581800; 35739066300; 57194726123,Maritime container shipping: Does coopetition improve cost and environmental efficiencies?,2020,Transportation Research Part D: Transport and Environment,87,,102507,,,NA,NA,0,LE,,,10.1016/j.trd.2020.102507,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089813346&partnerID=40&md5=a94405d27943a5b5176ebd315c29d5d2,,Article,Final,,Scopus,2-s2.0-85089813346,,,
49,"Zhou, L., Zhang, J., Fröhling, K.",57219095620; 55720375500; 57219097847,Evaluation of coal mine pollution abatement benefit based on analytic hierarchy process,2020,Arabian Journal of Geosciences,13,19,993,,,NA,NA,0,LE,,,10.1007/s12517-020-06008-z,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091216520&partnerID=40&md5=ef0a6b070f5f0356cd4524d065a9a461,,Article,Final,,Scopus,2-s2.0-85091216520,,,
50,"Ignjacevic, P., Botzen, W.J.W., Estrada, F., Kuik, O., Ward, P., Tiggeloven, T.",57218326492; 24072972400; 55410291500; 6506827992; 55939005100; 57216529507,CLIMRISK-RIVER: Accounting for local river flood risk in estimating the economic cost of climate change,2020,Environmental Modelling and Software,132,,104784,,,NA,NA,0,LE,,,10.1016/j.envsoft.2020.104784,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85090292486&partnerID=40&md5=91408999f459a5db2ec5ee247da735fc,,Article,Final,Open Access,Scopus,2-s2.0-85090292486,,,
51,"Naime, J., Mora, F., Sánchez-Martínez, M., Arreola, F., Balvanera, P.",57217134513; 56454908900; 57217138748; 57197796852; 6602239231,Economic valuation of ecosystem services from secondary tropical forests: trade-offs and implications for policy making,2020,Forest Ecology and Management,473,,118294,,,NA,1,0,LE,,,10.1016/j.foreco.2020.118294,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85086366482&partnerID=40&md5=cd5e0a86779e948f5ca99e4d99083308,,Article,Final,Open Access,Scopus,2-s2.0-85086366482,,,
52,"Gai, Y., Minet, L., Posen, I.D., Smargiassi, A., Tétreault, L.-F., Hatzopoulou, M.",57202058539; 57194271129; 56556878700; 6602148524; 55203064800; 57194223451,Health and climate benefits of Electric Vehicle Deployment in the Greater Toronto and Hamilton Area,2020,Environmental Pollution,265,,114983,,,NA,NA,0,LE,,,10.1016/j.envpol.2020.114983,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85086745325&partnerID=40&md5=7a03512c1fb559e7226cc6e7ac80920d,,Article,Final,,Scopus,2-s2.0-85086745325,,,
